"Table 3: Estimated population by sex, five year age group and administrative area, mid-2012",,,,,,,,,,,,,,,,,,,,,,,Persons
,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
"Edinburgh, City of","247,458",,"13,403","10,224","10,086","12,600","25,536","23,691","20,475","16,512","16,364","16,427","15,519","13,166","12,434","10,648","8,778","7,876","6,764","4,380","2,575",,"Edinburgh, City of"
Eilean Siar,"13,954",,582,734,743,790,532,596,702,799,985,"1,026","1,008",964,"1,027",938,770,681,513,347,217,,Eilean Siar
Falkirk,"80,245",,"4,639","4,257","4,146","4,397","4,390","4,674","5,139","5,400","6,370","6,346","5,757","4,984","4,978","4,252","3,570","2,912","2,112","1,224",698,,Falkirk
Fife,"188,762",,"10,163","9,604","9,475","11,167","12,466","10,577","10,910","11,047","13,820","14,410","13,587","12,014","12,191","11,182","8,416","7,164","5,249","3,425","1,895",,Fife
Glasgow City,"308,144",,"16,882","13,589","13,708","17,464","30,566","28,381","24,247","19,098","21,494","22,260","20,688","16,613","13,979","12,248","11,083","10,329","7,984","4,737","2,794",,Glasgow City
Highland,"118,867",,"6,039","6,134","6,295","6,474","5,476","6,402","6,587","6,828","8,641","9,509","8,971","8,468","8,307","7,308","5,747","4,664","3,552","2,187","1,278",,Highland
Inverclyde,"42,104",,"1,948","1,972","2,039","2,424","2,490","2,318","2,265","2,365","3,111","3,476","3,324","2,817","2,687","2,415","1,980","1,752","1,405",831,485,,Inverclyde
Midlothian,"43,623",,"2,545","2,326","2,472","2,457","2,483","2,278","2,570","2,603","3,365","3,432","3,173","2,869","2,830","2,566","1,887","1,598","1,126",677,366,,Midlothian
Moray,"47,315",,"2,489","2,428","2,564","2,883","2,278","2,648","2,508","2,750","3,477","3,690","3,328","3,141","3,120","2,964","2,272","1,961","1,450",877,487,,Moray
North Ayrshire,"72,150",,"3,649","3,608","3,765","4,247","3,990","3,685","3,782","4,095","5,225","5,750","5,275","4,950","4,863","4,517","3,686","2,889","2,144","1,239",791,,North Ayrshire
North Lanarkshire,"174,480",,"9,947","9,696","9,770","10,174","10,561","11,113","11,281","11,032","13,661","13,837","12,552","10,953","10,073","8,961","7,306","6,070","4,095","2,278","1,120",,North Lanarkshire
Orkney Islands,"10,837",,533,540,546,629,525,587,564,601,766,877,751,782,771,710,598,416,316,189,136,,Orkney Islands
Perth & Kinross,"75,713",,"3,584","3,596","4,126","4,291","3,614","4,076","3,878","4,090","5,496","5,967","5,457","5,196","5,123","4,838","3,868","3,226","2,567","1,761",959,,Perth & Kinross
Renfrewshire,"90,513",,"4,739","4,531","4,689","5,045","5,442","5,301","5,367","5,282","7,041","7,390","7,045","5,809","5,443","4,925","4,071","3,581","2,533","1,443",836,,Renfrewshire
Scottish Borders,"58,537",,"2,819","2,865","3,084","3,135","2,628","2,589","2,615","3,185","4,341","4,799","4,429","4,154","4,235","4,044","3,151","2,590","1,926","1,240",708,,Scottish Borders
Shetland Islands,"11,440",,612,651,692,695,601,616,670,738,837,878,818,793,715,637,508,386,290,184,119,,Shetland Islands
South Ayrshire,"59,105",,"2,696","2,729","2,868","3,208","3,066","2,901","2,916","3,093","4,122","4,524","4,485","4,169","4,153","4,045","3,200","2,724","2,061","1,349",796,,South Ayrshire
South Lanarkshire,"163,181",,"8,580","8,288","8,509","9,177","8,896","9,272","9,859","9,919","12,347","13,197","12,457","11,136","10,022","8,935","7,371","6,265","4,748","2,689","1,514",,South Lanarkshire
Stirling,"47,301",,"2,149","2,349","2,644","3,141","4,094","2,551","2,434","2,690","3,512","3,691","3,301","2,857","2,746","2,664","2,133","1,774","1,302",797,472,,Stirling
West Dunbartonshire,"47,289",,"2,543","2,348","2,369","2,667","2,958","2,879","2,835","2,736","3,487","3,902","3,622","3,172","2,913","2,456","2,067","1,750","1,361",782,442,,West Dunbartonshire
West Lothian,"89,780",,"5,414","5,372","5,322","5,403","5,062","5,543","5,715","6,119","7,457","7,434","6,513","5,396","5,130","4,534","3,491","2,563","1,776","1,000",536,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas1,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,"194,546",,"9,696","9,489","9,954","11,098","10,732","10,191","10,292","10,886","14,229","15,478","14,341","13,266","13,057","12,254","9,753","8,071","5,960","3,603","2,196",,Ayrshire & Arran
